Catalogue,Composition,Condition,Date,Mint_Mark,Other_Details,Province_Mint,Soverign_Issuer,Weight,wreck,image_url,type
,Silver,P,0.0,,,West Friesland,Estates General,7.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00174-003.jpg,1/2 Rijksdaalder
,Silver,aG,1622.0,,,West Friesland,Estates General,12.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00175-003.jpg,1/2 Rijksdaalder
,Silver,P Corroded,1620.0,,,West Friesland,Estates General,10.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00176-003.jpg,1/2 Rijksdaalder
Del. 924,,G,1622.0,,,West Friesland,Estates General,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00181-005.jpg,Rijksdaalder
Del. 924,Silver,P,1593.0,,,West Friesland,Estates General,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00184-003.jpg,Rijksdaalder
Dav. 6303,Silver,F,1626.0,,Wild man type Replacement ? Original coin presented to Duke of Kent.,Braunschweig  - Wolfenbuttel,Friedrich Ulrich,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00381-001.jpg,Taler
Dav. 6303,Silver,gF/G,1622.0,,Wild Man Type,Braunschweig  - Wolfenbuttel,Friedrich Ulrich,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00387-001.jpg,Taler
Dav. 6324,Silver,F Bent,1623.0,HS,Wild Man Type,Braunschweig  - Luneburg,Christian,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00388-001.jpg,Taler
Dav. 6471,Silver,VF,1627.0,**,Christianus DG.EL.EP.MIND.DUX.B.ET.L,Braunschweig,Christian,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00392-001.jpg,Taler
Dav. 5287-93,Silver,P,1623.0,,,Frankfurt - City Republic,Ferdinand II,20.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00422-007.jpg,Taler
T/O. Dav. 5365,Silver,F,1623.0,,Mon.Nov.CIVI. HAMBURGENSIS 1623,Hamburg - City,Ferdinand II,13.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00429-003.jpg,1/2 Taler
Dav. 5364,Silver,VF Corroded,1621.0,Hand Holding Flag,Part missing.  Date between towers,Hamburg - City,Holy Roman Empire,15.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00439-006.jpg,Taler
Dav. 5449,Silver,P/G Corroded,1620.0,,,Lubeck - Imperial City,Ferdinand II,19.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00464-001.jpg,Taler
Dav. 5449,Silver,P Corroded,1620.0,,,Lubeck - Imperial City,Unknown,14.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00470-001.jpg,Taler
Dav. 5449,Silver,P Corroded,1620.0,,,Lubeck - Imperial City,Unknown,16.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00471-001.jpg,Taler
Dav. 5449,Silver,P Corroded,1620.0,,,Lubeck - Imperial City,Ferdinand II,15.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00472-001.jpg,Taler
