Catalogue,Composition,Condition,Date,Mint_Mark,Other_Details,Province_Mint,Soverign_Issuer,Weight,wreck,image_url,type
,Silver,aG,1650.0,,,Mexico,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02682-001.jpg,8 Reales
,Silver,P,0.0,,,Mexico,Felipe IV,18.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02683-001.jpg,8 Reales
,Silver,VG,1652.0,SR …,"Full Date
Netherlands Rego Number: 2952-03",Seville,Felipe IV,24.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02952-001.jpg,8 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02953-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2954-03,Seville,Felipe IV,26.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02954-001.jpg,8 Reales
,Silver,G,1650.0,,Netherlands Rego Number: 2955-02,Seville,Felipe IV,26.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02955-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2956-06,Seville,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02956-001.jpg,8 Reales
,Silver,G,1650.0,SR,Netherlands Rego Number: 2957-03,Seville,Felipe IV,21.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02957-001.jpg,8 Reales
,Silver,P,1650.0,,"Barely collectable
Netherlands Rego Number: 2958-03",Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02958-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2959-02,Seville,Felipe IV,20.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02959-001.jpg,8 Reales
,Silver,P,1650.0,,"Barely collectable
Netherlands Rego Number: 2960-02",Seville,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02960-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2961-02,Seville,Felipe IV,21.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02961-001.jpg,8 Reales
,Silver,aG,1650.0,,Netherlands Rego Number: 2962-03,Seville,Felipe IV,26.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02962-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2963-01,Seville,Felipe IV,24.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02963-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2964-04,Seville,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02964-001.jpg,8 Reales
,Silver,VG,1650.0,,Similar to Yr1432,Seville,Felipe IV,27.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02965-001.jpg,8 Reales
,Silver,G,1650.0,,,Seville,Felipe IV,26.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02966-001.jpg,8 Reales
,Silver,P,1650.0,,,Unidentified,Felipe IV,24.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02967-001.jpg,8 Reales
,Silver,P,1650.0,,VIII,Seville,Felipe IV,16.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02968-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2969-06,Seville,Felipe IV,24.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02969-001.jpg,8 Reales
,Silver,G,1650.0,,Netherlands Rego Number: 2970-06,Seville,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02970-001.jpg,8 Reales
,Silver,aG,1650.0,,,Seville,Felipe IV,26.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02971-001.jpg,8 Reales
,Silver,G,1650.0,,,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02972-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2973-06,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02973-001.jpg,8 Reales
,Silver,G,1650.0,,,Seville,Felipe IV,26.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02974-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2975-01,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02975-001.jpg,8 Reales
,Silver,P,1650.0,SR,Netherlands Rego Number: 2976-05,Seville,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02976-001.jpg,8 Reales
,Silver,G,1650.0,SR,,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02977-001.jpg,8 Reales
,Silver,P Corroded,1650.0,SR....,Netherlands Rego Number: 2978-02,Seville,Felipe IV,16.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02978-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2979-02,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02979-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2981-04,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02981-001.jpg,8 Reales
,Silver,,1650.0,,VIII,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02982-001.jpg,8 Reales
,Silver,aG,1650.0,,Shows bag marks,Seville,Felipe IV,25.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02983-001.jpg,8 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 2984-03,Seville,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02984-001.jpg,8 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,21.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02985-001.jpg,8 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,21.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02986-001.jpg,8 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02987-001.jpg,8 Reales
,Silver,P,1650.0,R,,Seville,Felipe IV,18.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02988-001.jpg,8 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02989-001.jpg,8 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02990-001.jpg,8 Reales
,Silver,aG,1650.0,,,Seville,Felipe IV,24.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02991-001.jpg,8 Reales
,Silver,aG,1650.0,,,Seville,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02992-001.jpg,8 Reales
,Silver,G,1650.0,,Very Thick,Seville,Felipe IV,27.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02993-001.jpg,8 Reales
Lor 476,Silver,aG,1651.0,,Netherlands Rego Number: 2995-06,Seville,Felipe IV,5.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT02995-001.jpg,2 Reales
,Silver,aG,1650.0,,,Seville,Felipe IV,13.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03001-001.jpg,4 Reales
,Silver,P,1650.0,,"IIII value
Netherlands Rego Number: 3003-04",Seville,Felipe IV,11.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03003-001.jpg,4 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 3004-06,Seville,Felipe IV,11.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03004-001.jpg,4 Reales
,Silver,G,1650.0,,Netherlands Rego Number: 3006-02,Seville,Felipe IV,12.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03006-001.jpg,4 Reales
,Silver,aG,1650.0,,Netherlands Rego Number: 3007-06,Seville,Felipe IV,12.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03007-001.jpg,4 Reales
,Silver,VG,1650.0,,"HISP D
Netherlands Rego Number: 3009-04",Seville,Felipe IV,13.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03009-001.jpg,4 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 3010-02,Seville,Felipe IV,9.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03010-001.jpg,4 Reales
,Silver,G,1650.0,,Netherlands Rego Number: 3011-04,Seville,Felipe IV,11.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03011-001.jpg,4 Reales
,Silver,P Corroded,1650.0,,,Seville,Felipe IV,9.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03012-001.jpg,4 Reales
,Silver,P Corroded,1650.0,,,Seville,Felipe IV,7.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03013-001.jpg,4 Reales
,Silver,P,1650.0,,Netherlands Rego Number: 3015-02,Seville,Felipe IV,11.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03015-001.jpg,4 Reales
,Silver,aG,1650.0,,Netherlands Rego Number: 3019-02,Seville,Felipe IV,10.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03019-001.jpg,4 Reales
,Silver,aG,1650.0,,,Seville,Felipe IV,10.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03020-001.jpg,4 Reales
Yr 1431,Silver,aG,1650.0,,,Seville,Felipe IV,12.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03021-001.jpg,4 Reales
Yr 1431,Silver,G,1650.0,S,,Seville,Felipe IV,12.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03022-002.jpg,4 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,10.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03023-001.jpg,4 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,9.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03024-001.jpg,4 Reales
,Silver,P Corroded,1650.0,,,Seville,Felipe IV,10.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03025-001.jpg,4 Reales
,Silver,P,1650.0,,,Seville,Felipe IV,8.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03026-001.jpg,4 Reales
,Silver,G,1643.0,,Netherlands Rego Number: 3027-04,Seville,Felipe IV,5.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03027-001.jpg,2 Reales
,Silver,P,1651.0,,,Seville,Felipe IV,7.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03028-001.jpg,2 Reales
,Silver,P,1651.0,,,Seville,Felipe IV,6.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03029-001.jpg,2 Reales
,Silver,P,1651.0,,,Seville,Felipe IV,5.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03030-001.jpg,2 Reales
Yr 968 type,Silver,P,1651.0,,Netherlands Rego Number: 3031-04,Potosi,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03031-001.jpg,8 Reales
Yr 968 type,Silver,P,1651.0,,Netherlands Rego Number: 3032-03,Potosi,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03032-001.jpg,8 Reales
,Silver,Corroded,1651.0,,"Double struck
Netherlands Rego Number: 3033-02",Potosi,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03033-001.jpg,8 Reales
Yr 970 type,Silver,P,1651.0,,Netherlands Rego Number: 3034-03,Potosi,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03034-001.jpg,8 Reales
Yr 970 type,Silver,Corroded,1652.0,,Netherlands Rego Number: 3035-03,Potosi,Felipe IV,18.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03035-001.jpg,8 Reales
Yr 969 XII or XIII,Silver,Corroded,1652.0,,,Potosi,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03036-001.jpg,8 Reales
Yr 970,Silver,P Corroded,1652.0,,,Potosi,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03037-001.jpg,8 Reales
Yr. 967,Silver,P Corroded,1652.0,,,Potosi,Felipe IV,7.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03038-001.jpg,4 Reales
Yr 967,Silver,Corroded,1652.0,,,Potosi,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03039-001.jpg,8 Reales
,Silver,P,1652.0,P E,"1. Coin sampled on 20/04/16 by J.Green.
2. Coin sampled on 01/06/16 by J.Green.",Potosi,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03040-002.jpg,8 Reales
Yr 970,Silver,VG,1652.0,,"2 Dates
Netherlands Rego Number: 3042-05",Potosi,Felipe IV,24.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03042-001.jpg,8 Reales
Yr 970,Silver,P Corroded,1652.0,,"1. Coin sampled on 20/04/16 by J.Green.
2. Coin sampled on 01/06/16 by J.Green.
3. Coin sampled on 15/03/17 by J.Green.",Potosi,Felipe IV,15.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03043-002.jpg,8 Reales
,Silver,P Corroded,1653.0,,"1. Coin sampled on 20/04/16 by J.Green.
2. Coin sampled on 01/06/16 by J.Green.
3. Coin sampled on 15/03/17 by J.Green.",Potosi,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03045-002.jpg,8 Reales
Yr 971,Silver,P,1653.0,,"1. Coin sampled on 20/04/16 by J.Green.
2. Coin sampled on 01/06/16 by J.Green.
3. Coin sampled on 15/03/17 by J.Green.",Potosi,Felipe IV,23.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03046-002.jpg,8 Reales
Yr 971,Silver,P Corroded,1653.0,,,Potosi,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03047-001.jpg,8 Reales
Yr 971,Silver,Corroded,1653.0,,,Potosi,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03049-001.jpg,8 Reales
Yr 971,Silver,VG/Corroded,1653.0,,"3 dates
Netherlands Rego Number: 3050-05",Potosi,Felipe IV,26.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03050-001.jpg,8 Reales
Yr 971,Silver,P,1653.0,,"1. Coin sampled on 20/04/16 by J.Green.
2. Coin sampled on 01/06/16 by J.Green.",Potosi,Felipe IV,21.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03051-002.jpg,8 Reales
Yr 971,Silver,aG,1653.0,,Netherlands Rego Number: 3052-05,Potosi,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03052-001.jpg,8 Reales
Yr 971,Silver,P,1653.0,,,Potosi,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03054-001.jpg,8 Reales
Yr,Silver,P,1653.0,,,Potosi,Felipe IV,17.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03055-001.jpg,8 Reales
,Silver,P Corroded,1652.0,,,Potosi,Felipe IV,6.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03057-001.jpg,8 Reales
,Silver,P,1652.0,,,Potosi,Felipe IV,7.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03058-001.jpg,8 Reales
,Silver,P,1652.0,,,Potosi,Felipe IV,16.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03059-001.jpg,8 Reales
Yr 918,Silver,P,1652.0,,,Potosi,Felipe IV,15.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03060-001.jpg,8 Reales
Yr 918,Silver,aG,0.0,,Type of Yr918 castle,Potosi,Felipe III,24.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03061-001.jpg,8 Reales
,Silver,P,1650.0,,,Potosi,Felipe IV,19.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03062-001.jpg,8 Reales
,Silver,VP,1650.0,,,Potosi,Felipe IV,10.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03063-001.jpg,8 Reales
,Silver,P,1650.0,,,Potosi,Felipe IV,17.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03064-001.jpg,8 Reales
,Silver,P,1653.0,,Netherlands Rego Number: 3065-01,Potosi,Felipe IV,8.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03065-001.jpg,4 Reales
Type Yr 918,Silver,aG,1653.0,,Netherlands Rego Number: 3067-01,Potosi,Felipe IV,6.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03067-001.jpg,4 Reales
Yr 1195,Silver,P,1640.0,,,Potosi,Felipe IV,10.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03069-001.jpg,4 Reales
Yr 1195,Silver,Corroded,1625.0,,"Lions and Castles in opposite    L  C Quarters                                C  L
Netherlands Rego Number: 3070-05",Santa Fe,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03070-001.jpg,8 Reales
Yr1198,Silver,P,1651.0,,,Santa Fe,Felipe IV,18.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03071-001.jpg,8 Reales
,Silver,aF,1652.0,oN R,Netherlands Rego Number: 3073-01,Santa Fe,Felipe IV,22.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03073-001.jpg,8 Reales
Type Yr 1194/II,Silver,P,1652.0,oN R,"Value VIII
Netherlands Rego Number: 3074-04",Santa Fe,Felipe IV,21.0,Vergulde Draak (Draeck) (Gilt Dragon),http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/GT03074-001.jpg,8 Reales
